Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,596.25,2020-12-30,588.87,597.38,583.61,579.36,575.11,569.05,Target 1 Reached
2021-01-04,604.4,2020-12-30,588.87,597.38,583.61,579.36,575.11,569.05,Target 1 Reached
2021-01-05,603.45,2020-12-30,588.87,597.38,583.61,579.36,575.11,569.05,Target 1 Reached
2021-01-06,605.3,2021-01-05,605.15,599.17,609.85,613.14,616.89,620.52,Target 1 Reached
